rollout,success,x,y,z,qw,qx,qy,qz,dist_to_center,dist_to_edge
0,1,0.130718,0.423001,0.050000,1.000000,0.000000,0.000000,0.000000,0.082900,0.023001
1,1,0.096438,0.574495,0.050000,1.000000,0.000000,0.000000,0.000000,0.074580,0.025505
2,1,0.008142,0.479439,0.050000,1.000000,0.000000,0.000000,0.000000,0.094131,0.008142
3,1,0.168348,0.441416,0.050000,1.000000,0.000000,0.000000,0.000000,0.090019,0.031652
4,1,0.078431,0.436451,0.050000,1.000000,0.000000,0.000000,0.000000,0.067109,0.036451
5,1,0.013916,0.577067,0.050000,1.000000,0.000000,0.000000,0.000000,0.115541,0.013916
6,1,0.186229,0.483086,0.050000,1.000000,0.000000,0.000000,0.000000,0.087872,0.013771
7,1,0.196405,0.467928,0.050000,1.000000,0.000000,0.000000,0.000000,0.101601,0.003595
8,1,0.072375,0.407021,0.050000,1.000000,0.000000,0.000000,0.000000,0.096996,0.007021
9,1,0.131451,0.553137,0.050000,1.000000,0.000000,0.000000,0.000000,0.061747,0.046863
10,1,0.177019,0.580840,0.050000,1.000000,0.000000,0.000000,0.000000,0.111655,0.019160
11,1,0.014911,0.448926,0.050000,1.000000,0.000000,0.000000,0.000000,0.099240,0.014911
12,1,0.139585,0.479641,0.050000,1.000000,0.000000,0.000000,0.000000,0.044514,0.060415
13,1,0.036202,0.486500,0.050000,1.000000,0.000000,0.000000,0.000000,0.065211,0.036202
14,1,0.138288,0.493938,0.050000,1.000000,0.000000,0.000000,0.000000,0.038764,0.061712
15,1,0.178267,0.583641,0.050000,1.000000,0.000000,0.000000,0.000000,0.114549,0.016359
16,1,0.009090,0.487715,0.050000,1.000000,0.000000,0.000000,0.000000,0.091737,0.009090
17,1,0.062045,0.536382,0.050000,1.000000,0.000000,0.000000,0.000000,0.052575,0.062045
18,1,0.103921,0.513198,0.050000,1.000000,0.000000,0.000000,0.000000,0.013768,0.086802
19,1,0.027511,0.442709,0.050000,1.000000,0.000000,0.000000,0.000000,0.092395,0.027511
20,1,0.064459,0.446777,0.050000,1.000000,0.000000,0.000000,0.000000,0.063998,0.046777
21,1,0.113194,0.487645,0.050000,1.000000,0.000000,0.000000,0.000000,0.018076,0.086806
22,1,0.111928,0.573069,0.050000,1.000000,0.000000,0.000000,0.000000,0.074036,0.026931
23,1,0.021563,0.463264,0.050000,1.000000,0.000000,0.000000,0.000000,0.086613,0.021563
24,1,0.137418,0.540447,0.050000,1.000000,0.000000,0.000000,0.000000,0.055100,0.059553
25,1,0.084064,0.560526,0.050000,1.000000,0.000000,0.000000,0.000000,0.062589,0.039474
26,1,0.184700,0.412382,0.050000,1.000000,0.000000,0.000000,0.000000,0.121865,0.012382
27,1,0.194080,0.539821,0.050000,1.000000,0.000000,0.000000,0.000000,0.102160,0.005920
28,1,0.050711,0.545105,0.050000,1.000000,0.000000,0.000000,0.000000,0.066813,0.050711
29,1,0.107502,0.447389,0.050000,1.000000,0.000000,0.000000,0.000000,0.053144,0.047389
30,1,0.159605,0.461682,0.050000,1.000000,0.000000,0.000000,0.000000,0.070859,0.040395
31,1,0.087930,0.582665,0.050000,1.000000,0.000000,0.000000,0.000000,0.083541,0.017335
32,1,0.130726,0.471692,0.050000,1.000000,0.000000,0.000000,0.000000,0.041779,0.069274
33,0,0.009017,0.418862,0.050000,1.000000,0.000000,0.000000,0.000000,0.121907,0.009017
34,1,0.014609,0.585883,0.050000,1.000000,0.000000,0.000000,0.000000,0.121110,0.014117
35,1,0.124462,0.550998,0.050000,1.000000,0.000000,0.000000,0.000000,0.056561,0.049002
36,1,0.158764,0.545081,0.050000,1.000000,0.000000,0.000000,0.000000,0.074064,0.041236
37,1,0.096517,0.495296,0.050000,1.000000,0.000000,0.000000,0.000000,0.005854,0.095296
38,1,0.163214,0.454870,0.050000,1.000000,0.000000,0.000000,0.000000,0.077670,0.036786
39,1,0.192059,0.491624,0.050000,1.000000,0.000000,0.000000,0.000000,0.092440,0.007941
40,1,0.136232,0.508356,0.050000,1.000000,0.000000,0.000000,0.000000,0.037183,0.063768
41,1,0.050641,0.488771,0.050000,1.000000,0.000000,0.000000,0.000000,0.050620,0.050641
42,1,0.162773,0.463566,0.050000,1.000000,0.000000,0.000000,0.000000,0.072580,0.037227
43,1,0.178034,0.565083,0.050000,1.000000,0.000000,0.000000,0.000000,0.101612,0.021966
44,1,0.031955,0.530244,0.050000,1.000000,0.000000,0.000000,0.000000,0.074463,0.031955
45,1,0.196817,0.549832,0.050000,1.000000,0.000000,0.000000,0.000000,0.108888,0.003183
46,1,0.045662,0.503743,0.050000,1.000000,0.000000,0.000000,0.000000,0.054467,0.045662
47,1,0.000437,0.502643,0.050000,1.000000,0.000000,0.000000,0.000000,0.099598,0.000437
48,1,0.069871,0.454736,0.050000,1.000000,0.000000,0.000000,0.000000,0.054374,0.054736
49,1,0.006195,0.464834,0.050000,1.000000,0.000000,0.000000,0.000000,0.100180,0.006195
