x,y,z,qw,qx,qy,qz
0.00500000,0.40500000,0.05,1,0,0,0
0.01900000,0.40500000,0.05,1,0,0,0
0.03300000,0.40500000,0.05,1,0,0,0
0.04700000,0.40500000,0.05,1,0,0,0
0.06100000,0.40500000,0.05,1,0,0,0
0.07500000,0.40500000,0.05,1,0,0,0
0.08900000,0.40500000,0.05,1,0,0,0
0.00500000,0.41900000,0.05,1,0,0,0
0.01900000,0.41900000,0.05,1,0,0,0
0.03300000,0.41900000,0.05,1,0,0,0
0.04700000,0.41900000,0.05,1,0,0,0
0.06100000,0.41900000,0.05,1,0,0,0
0.07500000,0.41900000,0.05,1,0,0,0
0.08900000,0.41900000,0.05,1,0,0,0
0.00500000,0.43300000,0.05,1,0,0,0
0.01900000,0.43300000,0.05,1,0,0,0
0.03300000,0.43300000,0.05,1,0,0,0
0.04700000,0.43300000,0.05,1,0,0,0
0.06100000,0.43300000,0.05,1,0,0,0
0.07500000,0.43300000,0.05,1,0,0,0
0.08900000,0.43300000,0.05,1,0,0,0
0.00500000,0.44700000,0.05,1,0,0,0
0.01900000,0.44700000,0.05,1,0,0,0
0.03300000,0.44700000,0.05,1,0,0,0
0.04700000,0.44700000,0.05,1,0,0,0
0.06100000,0.44700000,0.05,1,0,0,0
0.07500000,0.44700000,0.05,1,0,0,0
0.08900000,0.44700000,0.05,1,0,0,0
0.00500000,0.46100000,0.05,1,0,0,0
0.01900000,0.46100000,0.05,1,0,0,0
0.03300000,0.46100000,0.05,1,0,0,0
0.04700000,0.46100000,0.05,1,0,0,0
0.06100000,0.46100000,0.05,1,0,0,0
0.07500000,0.46100000,0.05,1,0,0,0
0.08900000,0.46100000,0.05,1,0,0,0
0.00500000,0.47500000,0.05,1,0,0,0
0.01900000,0.47500000,0.05,1,0,0,0
0.03300000,0.47500000,0.05,1,0,0,0
0.04700000,0.47500000,0.05,1,0,0,0
0.06100000,0.47500000,0.05,1,0,0,0
0.07500000,0.47500000,0.05,1,0,0,0
0.08900000,0.47500000,0.05,1,0,0,0
0.00500000,0.48900000,0.05,1,0,0,0
0.01900000,0.48900000,0.05,1,0,0,0
0.03300000,0.48900000,0.05,1,0,0,0
0.04700000,0.48900000,0.05,1,0,0,0
0.06100000,0.48900000,0.05,1,0,0,0
0.07500000,0.48900000,0.05,1,0,0,0
0.08900000,0.48900000,0.05,1,0,0,0
# exact failed pose from original rollout 33
0.009017462465,0.418861932381,0.05,1,0,0,0
