rollout,x,y,z,qw,qx,qy,qz,episode_return,highest_reward,success
0,0.00500000,0.40500000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0,0,0
1,0.01900000,0.40500000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0,0,0
2,0.03300000,0.40500000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0,0,0
3,0.04700000,0.40500000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0,0,0
4,0.06100000,0.40500000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,666,4,1
5,0.07500000,0.40500000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,23,2,0
6,0.08900000,0.40500000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,11,2,0
7,0.00500000,0.41900000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0,0,0
8,0.01900000,0.41900000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,2,2,0
9,0.03300000,0.41900000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0,0,0
10,0.04700000,0.41900000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,81,2,0
11,0.06100000,0.41900000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,674,4,1
12,0.07500000,0.41900000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,677,4,1
13,0.08900000,0.41900000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,657,4,1
14,0.00500000,0.43300000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0,0,0
15,0.01900000,0.43300000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,5,2,0
16,0.03300000,0.43300000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,662,4,1
17,0.04700000,0.43300000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,662,4,1
18,0.06100000,0.43300000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,667,4,1
19,0.07500000,0.43300000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,679,4,1
20,0.08900000,0.43300000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,664,4,1
21,0.00500000,0.44700000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0,0,0
22,0.01900000,0.44700000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,660,4,1
23,0.03300000,0.44700000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,664,4,1
24,0.04700000,0.44700000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,666,4,1
25,0.06100000,0.44700000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,685,4,1
26,0.07500000,0.44700000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,676,4,1
27,0.08900000,0.44700000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,669,4,1
28,0.00500000,0.46100000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,4,1,0
29,0.01900000,0.46100000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,658,4,1
30,0.03300000,0.46100000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,692,4,1
31,0.04700000,0.46100000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,684,4,1
32,0.06100000,0.46100000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,671,4,1
33,0.07500000,0.46100000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,642,4,1
34,0.08900000,0.46100000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,649,4,1
35,0.00500000,0.47500000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0,0,0
36,0.01900000,0.47500000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,683,4,1
37,0.03300000,0.47500000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,673,4,1
38,0.04700000,0.47500000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,675,4,1
39,0.06100000,0.47500000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,675,4,1
40,0.07500000,0.47500000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,645,4,1
41,0.08900000,0.47500000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,651,4,1
42,0.00500000,0.48900000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,678,4,1
43,0.01900000,0.48900000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,681,4,1
44,0.03300000,0.48900000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,694,4,1
45,0.04700000,0.48900000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,679,4,1
46,0.06100000,0.48900000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,670,4,1
47,0.07500000,0.48900000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,650,4,1
48,0.08900000,0.48900000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,657,4,1
49,0.00901746,0.41886193,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0,0,0
